табельный_№,ФИО,подразделение,должность,год_рождения,год_приёма,место_работы,ставка,примечание
1003,Окружнова Серафима Олеговна,Дирекция,директор,1968,1993,Нижний Отрезок,1.0,директор с 2015 г.
1004,Эллипсов Борис Германович,Дирекция,советник дирекции,1947,1972,Нижний Отрезок,0.5,директор в 1998–2015 гг.
1009,Хордова Инна Игоревна,Отдел наблюдательной космологии,заведующий отделом,1979,2004,Нижний Отрезок,1.0,руководитель проекта ТОНКИЙ ЛУЧ
1012,Ромбов Гектор Филиппович,Отдел теоретической космологии,ведущий научный сотрудник,1955,1981,Нижний Отрезок,1.0,автор цилиндрической модели
1020,Точкин Мирон Саввич,Служба обсерватории Касательная,ведущий инженер,1976,1999,Касательная,1.0,ответственный за Отрезок-3М
1023,Абсциссов Тимофей Лукич,Служба обсерватории Касательная,смотритель,1961,1988,Касательная,1.0,
1028,Медианов Денис Романович,Радиоотдел (обсерватория Нормаль),заведующий отделом,1972,1998,Нормаль,1.0,
1034,Секторова Алина Всеволодовна,Радиоотдел (обсерватория Нормаль),ведущий инженер,1984,2009,Нормаль,1.0,
1041,Диагоналев Кирилл Андреевич,Лаборатория толщинометрии,заведующий лабораторией,1970,1996,Нижний Отрезок,1.0,соавтор оценки толщины 2021 г.
1043,Вершинина Ульяна Павловна,Дирекция,учёный секретарь,1981,2006,Нижний Отрезок,1.0,ведёт протоколы Учёного совета
1044,Гранёв Павел Ильич,Отдел теоретической космологии,заведующий отделом,1966,1990,Нижний Отрезок,1.0,
1052,Отрезкина Яна Олеговна,Отдел наблюдательной космологии,научный сотрудник,1992,2016,Нижний Отрезок,1.0,менеджер данных обзора ОБХОД-2
1056,Штрихов Глеб Андреевич,Служба обсерватории Касательная,наблюдатель,1988,2012,Касательная,1.0,
1063,Лучинина Полина Денисовна,Служба обсерватории Касательная,начальник службы,1980,2005,Касательная,1.0,
1067,Прямов Роман Глебович,Радиоотдел (обсерватория Нормаль),оператор радиотелескопа,1987,2013,Нормаль,1.0,
1073,Кривцов Роман Семёнович,Отдел теоретической космологии,аспирант,1999,2023,Нижний Отрезок,1.0,лауреат премии им. Параллелепипедова (2024)
1075,Трапециева Лидия Семёновна,Архив и библиотека,заведующий архивом,1974,2017,Нижний Отрезок,1.0,приняла архив после Н. И. Хордовой
1081,Углова Лидия Лукинична,Мастерские,шлифовщик отрезков,1994,2022,Нижний Отрезок,1.0,
1085,Плоскина Ольга Кирилловна,Отдел теоретической космологии,ведущий научный сотрудник,1997,2022,Нижний Отрезок,1.0,
1091,Лучинин Фёдор Денисович,Мастерские,мастер,1956,1980,Нижний Отрезок,1.0,
1092,Диагоналев Василий Фёдорович,Мастерские,шлифовщик отрезков,1983,2004,Нижний Отрезок,1.0,
1099,Прямов Никита Игоревич,Лаборатория толщинометрии,научный сотрудник,1953,1997,Нижний Отрезок,0.75,
